Date,Stock1,Stock2
09/08/89,917524,341592
09/15/89,907012,330738
09/22/89,908486,331893
09/29/89,911600,334472
10/06/89,915904,338773
10/13/89,921729,344299
10/20/89,915311,337529
10/27/89,920447,342665
11/03/89,918932,340649
11/10/89,926864,348205
11/17/89,927032,348031
11/24/89,923863,344376
12/01/89,932382,352895
12/08/89,923416,343562
12/15/89,928370,348516
12/22/89,925724,345870
12/29/89,924644,344790
01/05/90,924664,344810
01/12/90,928635,348407
01/19/90,926989,346761
01/26/90,924939,344711
02/02/90,934849,354250
02/09/90,930363,349438
02/16/90,927916,346991
02/23/90,923340,342415
03/02/90,927071,346146
03/09/90,933889,352472
03/16/90,932443,351026
03/23/90,941678,360261
03/30/90,944612,363195
04/06/90,952711,370432
04/13/90,953628,371349
04/20/90,952068,369789
04/27/90,956653,373997
05/04/90,956785,373366
05/11/90,962384,378079
05/18/90,967058,381875
05/25/90,968781,382600
06/01/90,971263,385082
06/08/90,973131,386950
06/15/90,972646,386465
06/22/90,973349,387168
06/29/90,974858,388172
07/06/90,971658,384972
07/13/90,976193,389515
07/20/90,974016,387338
07/27/90,978585,391907
08/03/90,970695,384018
08/10/90,965851,379173
08/17/90,966705,379503
08/24/90,969819,381127
08/31/90,965503,375880
09/07/90,968392,378769
09/14/90,962745,373122
09/21/90,957020,367397
09/28/90,947193,357570
10/05/90,945001,355378
10/12/90,937482,347859
10/19/90,934722,345099
10/26/90,935964,346341
11/02/90,939756,350390
11/09/90,940251,352034
11/16/90,934229,346291
11/23/90,930582,343266
11/30/90,932756,345853
12/07/90,926371,340355
12/14/90,924789,339097
12/21/90,926627,340935
12/28/90,920555,334863
01/04/91,912942,327250
01/11/91,913839,328148
01/18/91,912450,326759
01/25/91,912443,326751
02/01/91,915654,329962
02/08/91,915937,331172
02/15/91,920597,337091
02/22/91,919241,335996
03/01/91,917768,336208
03/08/91,912284,334536
03/15/91,915897,340911
03/22/91,914237,341784
03/29/91,917931,346521
04/05/91,909102,340620
04/12/91,913600,345118
04/19/91,910514,342032
04/26/91,916058,347576
05/03/91,912338,343856
05/10/91,912104,343621
05/17/91,918096,349613
05/24/91,917523,349040
05/31/91,924400,355917
06/07/91,924533,356050
06/14/91,925332,356849
06/21/91,923953,355471
06/28/91,920901,352418
07/05/91,922180,353697
07/12/91,921130,352642
07/19/91,919345,350857
07/26/91,915576,347088
08/02/91,916252,347764
08/09/91,917966,349478
08/16/91,916047,347545
08/23/91,921351,352849
08/30/91,923253,354751
09/06/91,913646,345143
09/13/91,907079,338576
09/20/91,907210,338707
09/27/91,911917,343414
10/04/91,910496,341993
10/11/91,913829,345326
10/18/91,911369,342866
10/25/91,920190,351687
11/01/91,914112,345609
11/08/91,917927,349424
11/15/91,923065,354560
11/22/91,917057,348552
11/29/91,911600,343095
12/06/91,917171,348669
12/13/91,911133,342631
12/20/91,906981,338479
12/27/91,896901,328399
01/03/92,902372,333870
01/10/92,905869,337361
01/17/92,904693,336185
01/24/92,910364,341856
01/31/92,905948,337440
02/07/92,905748,337240
02/14/92,903943,335433
02/21/92,907118,338608
02/28/92,914139,345629
03/06/92,920709,352199
03/13/92,915264,346754
03/20/92,918795,350285
03/27/92,913275,344765
04/03/92,909165,340655
04/10/92,917621,349110
04/17/92,920427,351916
04/24/92,921229,352718
05/01/92,923193,354682
05/08/92,922533,354022
05/15/92,923828,355317
05/22/92,919239,350728
05/29/92,916593,348082
06/05/92,916768,348257
06/12/92,917567,349053
06/19/92,911266,342752
06/26/92,901369,331848
07/03/92,900423,330901
07/10/92,903086,333564
07/17/92,896719,327199
07/24/92,896693,327173
07/31/92,902484,332964
08/07/92,900831,331310
08/14/92,899838,330317
